Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,92492,2022-02-24,-0.002930096,0.0552945969,0.0549428322,21,100
Market-Adjusted Model,92493,2022-02-24,-0.090782898,-0.034302894,-0.03290997,21,100
Market-Adjusted Model,92496,2022-02-24,-0.021298516,0.0352361712,0.0365744124,21,100
Market-Adjusted Model,92498,2022-02-24,-0.024282561,0.0332715098,0.0335903678,21,100
Market-Adjusted Model,92499,2022-02-24,-0.083926453,-0.025901298,-0.026053525,21,100
Market-Adjusted Model,92500,2022-02-24,-0.049856968,0.00892906,0.0080159608,21,100
Market-Adjusted Model,92502,2022-02-24,-0.000883783,0.0595038985,0.0569891459,21,100
Market-Adjusted Model,92509,2022-02-24,0.134788951,0.1959755729,0.1926618795,21,100
Market-Adjusted Model,92511,2022-02-24,-0.039143969,0.0197102801,0.0187289596,21,100
Market-Adjusted Model,92512,2022-02-24,-0.085090105,-0.027482821,-0.027217177,21,100
Market-Adjusted Model,92513,2022-02-24,-0.034444238,0.02324542,0.0234286909,21,100
Market-Adjusted Model,92514,2022-02-24,-0.062130921,-0.004783235,-0.004257992,21,100
Market-Adjusted Model,92517,2022-02-24,0.04,0.1158046965,0.0978729285,21,100
Market-Adjusted Model,92518,2022-02-24,0.2734082397,0.3149657442,0.3312811682,21,100
Market-Adjusted Model,92520,2022-02-24,-0.253164557,-0.211964204,-0.195291628,21,100
Market-Adjusted Model,92521,2022-02-24,-0.063063063,0.0007995597,-0.005190135,21,100
Market-Adjusted Model,92528,2022-02-24,-0.05651617,0.0022563428,0.0013567582,21,100
Market-Adjusted Model,92536,2022-02-24,-0.087124464,0.0023297961,-0.029251535,21,100
Market-Adjusted Model,92537,2022-02-24,-0.123765786,-0.067566837,-0.065892858,21,100
Market-Adjusted Model,92539,2022-02-24,-0.033218759,0.0230684344,0.0246541697,21,100
Market-Adjusted Model,92542,2022-02-24,-0.024806466,0.0321064244,0.0330664623,21,100
Market-Adjusted Model,92543,2022-02-24,0.2458715596,0.3668161661,0.3037444882,21,100
Market-Adjusted Model,92550,2022-02-24,0.020989043,0.0786470018,0.0788619715,21,100
Market-Adjusted Model,92557,2022-02-24,0.3399923166,0.3861868623,0.3978652451,21,100
Market-Adjusted Model,92570,2022-02-24,-0.238344311,-0.184464207,-0.180471382,21,100
Market-Adjusted Model,92571,2022-02-24,0.9944082013,1.0355233629,1.0522811298,21,100
Market-Adjusted Model,92572,2022-02-24,-0.010636932,0.0460311885,0.0472359969,21,100
Market-Adjusted Model,92577,2022-02-24,-0.040440235,0.0167919073,0.017432693,21,100
Market-Adjusted Model,92580,2022-02-24,0.1457816377,0.2089097649,0.2036545662,21,100
Market-Adjusted Model,92581,2022-02-24,-0.057049715,0.0022830696,0.0008232138,21,100
Market-Adjusted Model,92583,2022-02-24,-0.077762619,-0.004795954,-0.019889691,21,100
Market-Adjusted Model,92585,2022-02-24,-0.072139549,-0.015553477,-0.01426662,21,100
Market-Adjusted Model,92586,2022-02-24,-0.092040256,-0.036676637,-0.034167328,21,100
Market-Adjusted Model,92588,2022-02-24,-0.023876404,0.0375224467,0.033996524,21,100
Market-Adjusted Model,92589,2022-02-24,0.0298013245,0.1015227929,0.087674253,21,100
Market-Adjusted Model,92593,2022-02-24,-0.024604703,0.0344304405,0.0332682255,21,100
Market-Adjusted Model,92594,2022-02-24,-0.017730496,0.0710306537,0.0401424321,21,100
Market-Adjusted Model,92596,2022-02-24,0.2314786351,0.2704466988,0.2893515636,21,100
Market-Adjusted Model,92597,2022-02-24,-0.054530375,0.0050483582,0.0033425532,21,100
Market-Adjusted Model,92598,2022-02-24,-0.032622493,0.0258967942,0.0252504355,21,100
Market-Adjusted Model,92599,2022-02-24,-0.041995107,0.016841339,0.0158778212,21,100
Market-Adjusted Model,92600,2022-02-24,-0.081284496,-0.021224485,-0.023411567,21,100
Market-Adjusted Model,92601,2022-02-24,0.1311180961,0.1893901297,0.1889910246,21,100
Market-Adjusted Model,92602,2022-02-24,-0.115166105,-0.059116905,-0.057293176,21,100
Market-Adjusted Model,92603,2022-02-24,-0.04769704,0.0124989774,0.0101758889,21,100
Market-Adjusted Model,92606,2022-02-24,-0.065681442,-0.003189531,-0.007808513,21,100
Market-Adjusted Model,92608,2022-02-24,0.0229781195,0.0798709795,0.080851048,21,100
Market-Adjusted Model,92611,2022-02-24,-0.130038225,-0.078272139,-0.072165296,21,100
Market-Adjusted Model,92614,2022-02-24,-0.016253373,0.0431601469,0.0416195558,21,100
Market-Adjusted Model,92619,2022-02-24,0.5514018692,0.5383038477,0.6092747977,21,100
Market-Adjusted Model,92621,2022-02-24,0.7652817055,0.6597369808,0.823154634,21,100
Market-Adjusted Model,92635,2022-02-24,0.0339588919,0.0928480858,0.0918318204,21,100
Market-Adjusted Model,92644,2022-02-24,0.0234543648,0.0815574681,0.0813272933,21,100
Market-Adjusted Model,92648,2022-02-24,-0.088150979,-0.028537943,-0.030278051,21,100
Market-Adjusted Model,92655,2022-02-24,-0.003992623,0.0560497048,0.0538803058,21,100
Market-Adjusted Model,92662,2022-02-24,0.0380208333,0.1016629592,0.0958937619,21,100
Market-Adjusted Model,92664,2022-02-24,-0.00173913,0.0567595578,0.0561337981,21,100
Market-Adjusted Model,92665,2022-02-24,0.109375,0.1741961266,0.1672479285,21,100
Market-Adjusted Model,92666,2022-02-24,0.0034588778,0.0617966276,0.0613318063,21,100
Market-Adjusted Model,92667,2022-02-24,-0.05444521,0.0034624826,0.0034277183,21,100
Market-Adjusted Model,92675,2022-02-24,0.0095426619,0.0662613537,0.0674155904,21,100
Market-Adjusted Model,92679,2022-02-24,0.1649484536,0.2220377015,0.2228213821,21,100
Market-Adjusted Model,92680,2022-02-24,-0.072668529,-0.016545411,-0.0147956,21,100
Market-Adjusted Model,92682,2022-02-24,-0.093264249,-0.030887803,-0.03539132,21,100
Market-Adjusted Model,92684,2022-02-24,-0.194244604,-0.153198888,-0.136371676,21,100
